outcome,month,MMWR week,Age group,Vaccine product,Vaccinated with outcome,Fully vaccinated population,Unvaccinated with outcome,Unvaccinated population
case,Jul-21,202127,65-79,all_types,"3,239","22,966,871","5,503","4,615,757.30"
case,Jul-21,202127,80+,all_types,"1,040","6,775,173","1,223","1,838,819"
case,Jul-21,202127,all_ages_adj,all_types,"19,776","108,124,848","97,972","79,063,490.30"
case,Jul-21,202127,all_ages_adj,Janssen,"2,852","8,451,829","97,972","79,063,490.30"
case,Jul-21,202127,all_ages_adj,Moderna,"5,024","42,516,716","97,972","79,063,490.30"
case,Jul-21,202127,all_ages_adj,Pfizer,"11,852","57,071,902","97,972","79,063,490.30"
case,Jul-21,202128,12-17,all_types,516,"4,558,408","15,458","11,849,992"
case,Jul-21,202128,18-29,all_types,"6,201","15,428,400","47,207","20,915,086"
case,Jul-21,202128,30-49,all_types,"13,279","31,120,481","60,050","25,487,574"
case,Jul-21,202128,50-64,all_types,"8,774","28,696,819","24,105","13,210,098"
case,Jul-21,202128,65-79,all_types,"5,767","23,056,067","8,173","4,543,765.30"
case,Jul-21,202128,80+,all_types,"1,927","6,795,364","1,824","1,822,389"
case,Jul-21,202128,all_ages_adj,all_types,"36,464","109,655,539","156,817","77,828,904.30"
case,Jul-21,202128,all_ages_adj,Janssen,"5,065","8,608,934","156,817","77,828,904.30"
case,Jul-21,202128,all_ages_adj,Moderna,"9,664","42,897,688","156,817","77,828,904.30"
case,Jul-21,202128,all_ages_adj,Pfizer,"21,617","58,063,944","156,817","77,828,904.30"
case,Jul-21,202129,12-17,all_types,952,"4,825,308","25,649","11,548,077"
case,Jul-21,202129,18-29,all_types,"10,758","15,704,347","74,427","20,604,094"
case,Jul-21,202129,30-49,all_types,"22,751","31,506,094","97,561","25,032,653"
case,Jul-21,202129,50-64,all_types,"15,882","28,913,051","39,102","12,943,955"
case,Jul-21,202129,65-79,all_types,"10,530","23,131,900","13,316","4,454,258.30"
case,Jul-21,202129,80+,all_types,"3,389","6,812,220","2,926","1,802,944"
case,Jul-21,202129,all_ages_adj,all_types,"64,262","110,892,920","252,981","76,385,981.30"
case,Jul-21,202129,all_ages_adj,Janssen,"8,409","8,748,145","252,981","76,385,981.30"
case,Jul-21,202129,all_ages_adj,Moderna,"17,259","43,204,111","252,981","76,385,981.30"
case,Jul-21,202129,all_ages_adj,Pfizer,"38,393","58,855,067","252,981","76,385,981.30"
case,Jul-21,202130,12-17,all_types,"1,638","5,083,356","37,968","11,183,143"
case,Jul-21,202130,18-29,all_types,"16,527","15,988,874","108,708","20,193,569"
case,Jul-21,202130,30-49,all_types,"33,944","31,895,875","140,533","24,409,897"
case,Jul-21,202130,50-64,all_types,"24,009","29,129,372","57,087","12,588,126"
case,Jul-21,202130,65-79,all_types,"16,752","23,208,127","19,768","4,337,929.30"
case,Jul-21,202130,80+,all_types,"5,248","6,829,557","4,570","1,779,431"
case,Jul-21,202130,all_ages_adj,all_types,"98,118","112,135,161","368,634","74,492,095.30"
case,Jul-21,202130,all_ages_adj,Janssen,"12,167","8,892,993","368,634","74,492,095.30"
case,Jul-21,202130,all_ages_adj,Moderna,"27,386","43,503,727","368,634","74,492,095.30"
case,Jul-21,202130,all_ages_adj,Pfizer,"58,297","59,652,474","368,634","74,492,095.30"
case,Aug-21,202131,12-17,all_types,"2,449","5,317,088","46,937","10,758,121"
case,Aug-21,202131,18-29,all_types,"20,565","16,248,510","127,704","19,728,308"
case,Aug-21,202131,30-49,all_types,"43,505","32,253,896","168,809","23,699,701"
case,Aug-21,202131,50-64,all_types,"32,212","29,334,984","71,470","12,197,719"
case,Aug-21,202131,65-79,all_types,"22,540","23,280,402","25,434","4,214,916.45"
case,Aug-21,202131,80+,all_types,"7,087","6,845,913","5,772","1,753,918"
case,Aug-21,202131,all_ages_adj,all_types,"128,358","113,280,793","446,126","72,352,683.45"
case,Aug-21,202131,all_ages_adj,Janssen,"15,274","9,018,968","446,126","72,352,683.45"
case,Aug-21,202131,all_ages_adj,Moderna,"36,455","43,768,494","446,126","72,352,683.45"
case,Aug-21,202131,all_ages_adj,Pfizer,"76,243","60,406,989","446,126","72,352,683.45"
case,Aug-21,202132,12-17,all_types,"3,010","5,520,473","59,534","10,327,596"
case,Aug-21,202132,18-29,all_types,"21,359","16,493,319","135,314","19,247,494"
case,Aug-21,202132,30-49,all_types,"48,829","32,592,643","184,587","22,962,556"
case,Aug-21,202132,50-64,all_types,"36,885","29,531,911","80,453","11,815,181"
case,Aug-21,202132,65-79,all_types,"26,037","23,349,459","29,232","4,096,358.45"
case,Aug-21,202132,80+,all_types,"8,468","6,860,950","6,828","1,728,950"
case,Aug-21,202132,all_ages_adj,all_types,"144,588","114,348,755","495,948","70,178,135.45"
case,Aug-21,202132,all_ages_adj,Janssen,"16,849","9,159,361","495,948","70,178,135.45"
case,Aug-21,202132,all_ages_adj,Moderna,"42,012","44,021,421","495,948","70,178,135.45"
case,Aug-21,202132,all_ages_adj,Pfizer,"85,584","61,081,295","495,948","70,178,135.45"
case,Aug-21,202133,12-17,all_types,"3,951","5,751,058","80,009","9,965,379"
case,Aug-21,202133,18-29,all_types,"22,037","16,738,128","133,591","18,782,351"
case,Aug-21,202133,30-49,all_types,"51,651","32,933,216","186,938","22,259,355"
case,Aug-21,202133,50-64,all_types,"39,041","29,731,429","82,417","11,460,327"
case,Aug-21,202133,65-79,all_types,"28,099","23,418,915","31,107","3,972,769.45"
case,Aug-21,202133,80+,all_types,"8,994","6,876,018","7,468","1,701,491"
case,Aug-21,202133,all_ages_adj,all_types,"153,773","115,448,764","521,530","68,141,672.45"
case,Aug-21,202133,all_ages_adj,Janssen,"17,844","9,299,195","521,530","68,141,672.45"
case,Aug-21,202133,all_ages_adj,Moderna,"45,848","44,250,738","521,530","68,141,672.45"
case,Aug-21,202133,all_ages_adj,Pfizer,"89,887","61,811,421","521,530","68,141,672.45"
case,Aug-21,202134,12-17,all_types,"5,080","6,029,618","95,693","9,635,541"
case,Aug-21,202134,18-29,all_types,"23,619","17,009,525","130,242","18,326,021"
case,Aug-21,202134,30-49,all_types,"53,573","33,327,356","185,192","21,578,030"
case,Aug-21,202134,50-64,all_types,"39,926","29,962,842","80,015","11,120,083"
case,Aug-21,202134,65-79,all_types,"28,528","23,498,374","30,515","3,853,766.45"
case,Aug-21,202134,80+,all_types,"9,157","6,892,872","7,083","1,674,307"
case,Aug-21,202134,all_ages_adj,all_types,"159,883","116,720,587","528,740","66,187,748.45"
case,Aug-21,202134,all_ages_adj,Janssen,"18,336","9,435,458","528,740","66,187,748.45"
case,Aug-21,202134,all_ages_adj,Moderna,"48,460","44,500,893","528,740","66,187,748.45"
case,Aug-21,202134,all_ages_adj,Pfizer,"92,844","62,695,951","528,740","66,187,748.45"
case,Sep-21,202135,12-17,all_types,"5,251","6,365,494","87,967","9,332,070"
case,Sep-21,202135,18-29,all_types,"23,691","17,341,828","119,028","17,885,349"
case,Sep-21,202135,30-49,all_types,"51,195","33,846,174","171,432","20,933,774"
case,Sep-21,202135,50-64,all_types,"38,166","30,264,208","74,444","10,797,055"
case,Sep-21,202135,65-79,all_types,"27,614","23,605,004.10","29,145","3,738,219.45"
case,Sep-21,202135,80+,all_types,"8,840","6,915,133","7,038","1,648,290"
case,Sep-21,202135,all_ages_adj,all_types,"154,757","118,337,841.10","489,054","64,334,757.45"
case,Sep-21,202135,all_ages_adj,Janssen,"17,327","9,565,505","489,054","64,334,757.45"
case,Sep-21,202135,all_ages_adj,Moderna,"47,124","44,822,947","489,054","64,334,757.45"
case,Sep-21,202135,all_ages_adj,Pfizer,"90,167","63,860,455","489,054","64,334,757.45"
case,Sep-21,202136,12-17,all_types,"4,618","6,754,387","67,943","9,108,987"
case,Sep-21,202136,18-29,all_types,"21,984","17,731,529","104,478","17,538,795"
case,Sep-21,202136,30-49,all_types,"47,245","34,474,167","150,910","20,434,077"
case,Sep-21,202136,50-64,all_types,"35,367","30,615,846","66,923","10,553,328"
case,Sep-21,202136,65-79,all_types,"25,172","23,728,512.10","26,190","3,651,719.45"
case,Sep-21,202136,80+,all_types,"8,211","6,940,698","6,391","1,628,795"
case,Sep-21,202136,all_ages_adj,all_types,"142,597","120,245,139.10","422,835","62,915,701.45"
case,Sep-21,202136,all_ages_adj,Janssen,"15,932","9,685,670","422,835","62,915,701.45"
case,Sep-21,202136,all_ages_adj,Moderna,"43,681","45,260,562","422,835","62,915,701.45"
case,Sep-21,202136,all_ages_adj,Pfizer,"82,844","65,209,618","422,835","62,915,701.45"
case,Sep-21,202137,12-17,all_types,"4,418","7,154,615","55,855","8,884,363"
case,Sep-21,202137,18-29,all_types,"19,556","18,142,081","89,285","17,154,011"
case,Sep-21,202137,30-49,all_types,"43,481","35,136,902","128,918","19,876,123"
case,Sep-21,202137,50-64,all_types,"32,977","30,974,011","58,431","10,289,330"
case,Sep-21,202137,65-79,all_types,"24,024","23,851,785.10","23,904","3,561,002.25"
case,Sep-21,202137,80+,all_types,"7,759","6,966,454","5,899","1,608,267"
case,Sep-21,202137,all_ages_adj,all_types,"132,215","122,225,848.10","362,292","61,373,096.25"
case,Sep-21,202137,all_ages_adj,Janssen,"14,433","9,790,571","362,292","61,373,096.25"
case,Sep-21,202137,all_ages_adj,Moderna,"40,988","45,771,700","362,292","61,373,096.25"
case,Sep-21,202137,all_ages_adj,Pfizer,"76,660","66,573,459","362,292","61,373,096.25"
case,Sep-21,202138,12-17,all_types,"4,010","7,467,452","45,974","8,709,274"
case,Sep-21,202138,18-29,all_types,"15,937","18,497,242","71,383","16,840,939"
case,Sep-21,202138,30-49,all_types,"39,054","35,700,324","105,381","19,426,556"
case,Sep-21,202138,50-64,all_types,"29,280","31,264,526","48,103","10,079,499"
case,Sep-21,202138,65-79,all_types,"21,412","23,949,382.10","20,092","3,489,844.25"
case,Sep-21,202138,80+,all_types,"6,964","6,987,376","5,045","1,588,822"
case,Sep-21,202138,all_ages_adj,all_types,"116,657","123,866,302.10","295,978","60,134,934.25"
case,Sep-21,202138,all_ages_adj,Janssen,"12,651","9,865,445","295,978","60,134,934.25"
case,Sep-21,202138,all_ages_adj,Moderna,"36,269","46,248,923","295,978","60,134,934.25"
case,Sep-21,202138,all_ages_adj,Pfizer,"67,634","67,660,998","295,978","60,134,934.25"
case,Sep-21,202139,12-17,all_types,"3,797","7,756,020","38,175","8,567,941"
case,Sep-21,202139,18-29,all_types,"14,611","18,900,317","59,402","16,564,423"
case,Sep-21,202139,30-49,all_types,"37,624","36,337,484","89,969","19,017,933"
case,Sep-21,202139,50-64,all_types,"27,948","31,582,510","41,966","9,883,130"
case,Sep-21,202139,65-79,all_types,"20,448","24,053,077.10","17,994","3,348,012.25"
case,Sep-21,202139,80+,all_types,"6,535","7,009,037","4,520","1,547,070"
case,Sep-21,202139,all_ages_adj,all_types,"110,963","125,638,445.10","252,026","58,928,509.25"
case,Sep-21,202139,all_ages_adj,Janssen,"11,752","9,954,765","252,026","58,928,509.25"
case,Sep-21,202139,all_ages_adj,Moderna,"34,596","46,775,262","252,026","58,928,509.25"
case,Sep-21,202139,all_ages_adj,Pfizer,"64,529","68,816,789","252,026","58,928,509.25"
case,Oct-21,202140,12-17,all_types,"3,523","7,999,059","31,555","8,446,824"
case,Oct-21,202140,18-29,all_types,"13,579","19,279,100","51,852","16,320,930"
case,Oct-21,202140,30-49,all_types,"35,593","36,915,979","79,193","18,659,968"
case,Oct-21,202140,50-64,all_types,"26,414","31,870,861","37,558","9,706,910"
case,Oct-21,202140,65-79,all_types,"19,157","24,149,526.10","16,234","3,227,269.25"
case,Oct-21,202140,80+,all_types,"6,221","7,028,835","4,133","1,508,283"
case,Oct-21,202140,all_ages_adj,all_types,"104,487","127,243,360.10","220,525","57,870,184.25"
case,Oct-21,202140,all_ages_adj,Janssen,"10,987","10,035,996","220,525","57,870,184.25"
case,Oct-21,202140,all_ages_adj,Moderna,"33,278","47,199,851","220,525","57,870,184.25"
case,Oct-21,202140,all_ages_adj,Pfizer,"60,148","69,915,295","220,525","57,870,184.25"
case,Oct-21,202141,12-17,all_types,"3,092","8,185,055","26,091","8,343,765"
case,Oct-21,202141,18-29,all_types,"12,435","19,591,411","43,896","16,104,011"
case,Oct-21,202141,30-49,all_types,"32,199","37,386,627","67,929","18,344,916"
case,Oct-21,202141,50-64,all_types,"24,222","32,106,161","32,921","9,546,858"
case,Oct-21,202141,65-79,all_types,"17,019","24,257,847.10","14,674","3,130,669.95"
case,Oct-21,202141,80+,all_types,"5,621","7,053,890","3,924","1,474,613"
case,Oct-21,202141,all_ages_adj,all_types,"94,588","128,580,991.10","189,435","56,944,832.95"
case,Oct-21,202141,all_ages_adj,Janssen,"9,960","10,109,476","189,435","56,944,832.95"
case,Oct-21,202141,all_ages_adj,Moderna,"30,920","47,537,851","189,435","56,944,832.95"
case,Oct-21,202141,all_ages_adj,Pfizer,"53,616","70,840,917","189,435","56,944,832.95"
case,Oct-21,202142,12-17,all_types,"3,145","8,344,623","22,707","8,253,602"
case,Oct-21,202142,18-29,all_types,"11,687","19,873,526","40,618","15,907,097"
case,Oct-21,202142,30-49,all_types,"31,280","37,813,043","62,464","18,059,597"
case,Oct-21,202142,50-64,all_types,"23,668","32,318,308","29,989","9,393,908"
case,Oct-21,202142,65-79,all_types,"15,652","24,356,918.10","13,547","3,065,447.25"
case,Oct-21,202142,80+,all_types,"5,253","7,078,073","3,645","1,443,231"
case,Oct-21,202142,all_ages_adj,all_types,"90,685","129,784,491.10","172,970","56,122,882.25"
case,Oct-21,202142,all_ages_adj,Janssen,"9,577","10,180,297","172,970","56,122,882.25"
case,Oct-21,202142,all_ages_adj,Moderna,"30,213","47,790,175","172,970","56,122,882.25"
case,Oct-21,202142,all_ages_adj,Pfizer,"50,804","71,720,511","172,970","56,122,882.25"
case,Oct-21,202143,12-17,all_types,"3,183","8,475,239","22,739","8,174,471"
case,Oct-21,202143,18-29,all_types,"12,891","20,119,511","41,804","15,717,372"
case,Oct-21,202143,30-49,all_types,"33,020","38,175,963","62,180","17,757,894"
case,Oct-21,202143,50-64,all_types,"24,403","32,499,758","30,129","9,202,398"
case,Oct-21,202143,65-79,all_types,"15,406","24,438,643.10","13,032","2,953,196.20"
case,Oct-21,202143,80+,all_types,"5,326","7,099,508","3,672","1,385,331"
case,Oct-21,202143,all_ages_adj,all_types,"94,229","130,808,622.10","173,556","55,190,662.20"
case,Oct-21,202143,all_ages_adj,Janssen,"10,002","10,247,203","173,556","55,190,662.20"
case,Oct-21,202143,all_ages_adj,Moderna,"32,218","48,027,424","173,556","55,190,662.20"
case,Oct-21,202143,all_ages_adj,Pfizer,"51,871","72,440,047","173,556","55,190,662.20"
case,Nov-21,202144,12-17,all_types,"3,810","8,585,046","23,970","8,093,460"
case,Nov-21,202144,18-29,all_types,"16,800","20,335,517","43,894","15,528,560"
case,Nov-21,202144,30-49,all_types,"37,483","38,498,323","63,526","17,452,037"
case,Nov-21,202144,50-64,all_types,"25,870","32,660,268","30,293","9,005,314"
case,Nov-21,202144,65-79,all_types,"15,071","24,512,944.10","12,905","2,869,891.20"
case,Nov-21,202144,80+,all_types,"5,195","7,120,074","3,463","1,343,649.05"
case,Nov-21,202144,all_ages_adj,all_types,"104,229","131,712,172.10","178,051","54,292,911.25"
case,Nov-21,202144,all_ages_adj,Janssen,"11,376","10,316,259","178,051","54,292,911.25"
case,Nov-21,202144,all_ages_adj,Moderna,"34,739","48,244,467","178,051","54,292,911.25"
case,Nov-21,202144,all_ages_adj,Pfizer,"57,993","73,057,174","178,051","54,292,911.25"
case,Nov-21,202145,12-17,all_types,"4,223","8,679,382","25,852","7,993,657"
case,Nov-21,202145,18-29,all_types,"17,506","20,524,405","46,794","15,348,970"
case,Nov-21,202145,30-49,all_types,"42,122","38,791,528","69,520","17,164,818"
case,Nov-21,202145,50-64,all_types,"29,273","32,816,122","33,628","8,820,974"
case,Nov-21,202145,65-79,all_types,"15,584","24,620,029.10","13,984","2,796,337.20"
case,Nov-21,202145,80+,all_types,"5,522","7,150,949","3,796","1,307,377.90"
case,Nov-21,202145,all_ages_adj,all_types,"114,230","132,582,415.10","193,574","53,432,134.10"
case,Nov-21,202145,all_ages_adj,Janssen,"12,502","10,394,222","193,574","53,432,134.10"
case,Nov-21,202145,all_ages_adj,Moderna,"38,162","48,502,661","193,574","53,432,134.10"
case,Nov-21,202145,all_ages_adj,Pfizer,"63,454","73,590,917","193,574","53,432,134.10"
case,Nov-21,202146,12-17,all_types,"4,734","8,762,258","27,027","7,887,599"
